resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
16,512,256,,0.2,tanh,0.9133417010307312,0.70703125,1.4597972631454468,0.45703125,1.4770499467849731,0.4453125
16,512,256,,0.4,relu,1.144404649734497,0.6341145634651184,1.4702905416488647,0.43359375,1.5323381423950195,0.39453125
16,512,256,,0.4,tanh,1.176985740661621,0.5950520634651184,1.4538121223449707,0.44921875,1.4632991552352905,0.44140625
16,512,256,128.0,0.0,relu,1.1469165086746216,0.58984375,1.4856221675872803,0.484375,1.5744768381118774,0.44140625
16,512,256,128.0,0.0,tanh,1.113297462463379,0.5989583134651184,1.5332424640655518,0.4609375,1.5076693296432495,0.453125
16,512,256,128.0,0.2,relu,1.076561450958252,0.6393229365348816,1.4765281677246094,0.47265625,1.5331732034683228,0.4375
16,512,256,128.0,0.2,tanh,1.0339456796646118,0.6510416865348816,1.4583011865615845,0.4765625,1.4520853757858276,0.453125
16,512,256,128.0,0.4,relu,1.1277543306350708,0.6236979365348816,1.620790958404541,0.421875,1.6046062707901,0.3984375
16,512,256,128.0,0.4,tanh,1.2144170999526978,0.5911458134651184,1.4586149454116821,0.46875,1.4776400327682495,0.4453125
16,512,256,256.0,0.0,relu,1.1073054075241089,0.62109375,1.478646993637085,0.46484375,1.5347802639007568,0.42578125
16,512,256,256.0,0.0,tanh,1.0822432041168213,0.59765625,1.5627882480621338,0.45703125,1.5926437377929688,0.42578125
16,512,256,256.0,0.2,relu,0.9711808562278748,0.68359375,1.501227617263794,0.46484375,1.5687625408172607,0.453125
16,512,256,256.0,0.2,tanh,0.9899158477783203,0.6666666865348816,1.4536688327789307,0.46484375,1.4568003416061401,0.46484375
16,512,256,256.0,0.4,relu,1.238930583000183,0.5703125,1.538438320159912,0.45703125,1.5654298067092896,0.40625
16,512,256,256.0,0.4,tanh,1.2085219621658325,0.5859375,1.45728600025177,0.46484375,1.4875311851501465,0.44921875
16,512,512,,0.0,relu,1.1146241426467896,0.6106770634651184,1.5171597003936768,0.453125,1.5315412282943726,0.44140625
16,512,512,,0.0,tanh,1.1473184823989868,0.60546875,1.5457141399383545,0.45703125,1.4948111772537231,0.46875
16,512,512,,0.2,relu,1.0077378749847412,0.6692708134651184,1.4688299894332886,0.484375,1.5437816381454468,0.44921875
16,512,512,,0.2,tanh,0.8140701651573181,0.7526041865348816,1.4210715293884277,0.46875,1.5187461376190186,0.40625
16,512,512,,0.4,relu,1.0420652627944946,0.6901041865348816,1.4899413585662842,0.4609375,1.5321927070617676,0.4140625
16,512,512,,0.4,tanh,1.0821927785873413,0.64453125,1.4368290901184082,0.4609375,1.4718384742736816,0.41796875
16,512,512,128.0,0.0,relu,1.1531349420547485,0.5768229365348816,1.477917194366455,0.4375,1.5649045705795288,0.41796875
16,512,512,128.0,0.0,tanh,1.0628137588500977,0.6080729365348816,1.5042823553085327,0.4609375,1.525381326675415,0.44921875
16,512,512,128.0,0.2,relu,1.0851463079452515,0.6328125,1.4822733402252197,0.47265625,1.5484739542007446,0.40234375
16,512,512,128.0,0.2,tanh,1.0907902717590332,0.6145833134651184,1.4491469860076904,0.4765625,1.457115888595581,0.43359375
16,512,512,128.0,0.4,relu,1.19740629196167,0.5846354365348816,1.5283135175704956,0.44140625,1.6460156440734863,0.390625
16,512,512,128.0,0.4,tanh,1.1307646036148071,0.6263020634651184,1.461167573928833,0.48046875,1.4881035089492798,0.4765625
16,512,512,256.0,0.0,relu,1.0264157056808472,0.6549479365348816,1.5125867128372192,0.4609375,1.5553033351898193,0.421875
16,512,512,256.0,0.0,tanh,1.0672122240066528,0.6145833134651184,1.5011297464370728,0.4765625,1.4781219959259033,0.453125
16,512,512,256.0,0.2,relu,1.0653618574142456,0.6302083134651184,1.4906195402145386,0.42578125,1.5630338191986084,0.4453125
16,512,512,256.0,0.2,tanh,0.6823384761810303,0.80859375,1.459030270576477,0.46875,1.5544211864471436,0.4296875
16,512,512,256.0,0.4,relu,1.220848798751831,0.5846354365348816,1.5303643941879272,0.4921875,1.5896282196044922,0.41796875
16,512,512,256.0,0.4,tanh,1.3042289018630981,0.5403645634651184,1.5166720151901245,0.44140625,1.491407871246338,0.44140625
16,1024,256,,0.0,relu,1.0296871662139893,0.6315104365348816,1.531887173652649,0.4140625,1.6314866542816162,0.40625
16,1024,256,,0.0,tanh,0.9773018956184387,0.6666666865348816,1.4823843240737915,0.48828125,1.4921362400054932,0.453125
16,1024,256,,0.2,relu,1.0291699171066284,0.6875,1.4328433275222778,0.46875,1.497971773147583,0.4765625
16,1024,256,,0.2,tanh,0.8257295489311218,0.7265625,1.4230834245681763,0.49609375,1.4942249059677124,0.421875
16,1024,256,,0.4,relu,1.07844078540802,0.6888020634651184,1.4778361320495605,0.4765625,1.5377178192138672,0.43359375
16,1024,256,,0.4,tanh,1.1602447032928467,0.6119791865348816,1.4606784582138062,0.46875,1.4616585969924927,0.45703125
16,1024,256,128.0,0.0,relu,1.333006501197815,0.5104166865348816,1.5706074237823486,0.39453125,1.5524930953979492,0.390625
16,1024,256,128.0,0.0,tanh,1.0838103294372559,0.5833333134651184,1.5330803394317627,0.46875,1.5489943027496338,0.43359375
