filter_size_1,filter_size_2,pooling,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
9,5,max,0.2,tanh,0.3584495484828949,0.8854166865348816,1.0660138130187988,0.625,1.2146285772323608,0.60546875
9,5,max,0.4,relu,0.41759708523750305,0.8841145634651184,1.0264089107513428,0.6640625,1.1304961442947388,0.6171875
9,5,max,0.4,tanh,0.19154275953769684,0.9505208134651184,1.0185248851776123,0.66015625,1.0095380544662476,0.66015625
11,3,average,0.0,relu,0.7277598977088928,0.7434895634651184,1.2463511228561401,0.57421875,1.4444727897644043,0.5390625
11,3,average,0.0,tanh,0.5381720066070557,0.84765625,1.2762947082519531,0.53125,1.3966102600097656,0.51171875
11,3,average,0.2,relu,0.38049712777137756,0.8802083134651184,0.9735177755355835,0.6640625,1.3850202560424805,0.58984375
11,3,average,0.2,tanh,0.6376423835754395,0.7916666865348816,1.288878083229065,0.546875,1.533031702041626,0.4921875
11,3,average,0.4,relu,0.428007036447525,0.8802083134651184,1.0434802770614624,0.67578125,1.227650761604309,0.578125
11,3,average,0.4,tanh,0.4807874858379364,0.8606770634651184,1.1101454496383667,0.625,1.3851906061172485,0.52734375
11,3,max,0.0,relu,0.47717344760894775,0.8411458134651184,1.1089993715286255,0.6328125,1.1931252479553223,0.58203125
11,3,max,0.0,tanh,0.32833805680274963,0.9231770634651184,0.9869899749755859,0.63671875,1.0429940223693848,0.6328125
11,3,max,0.2,relu,0.38612183928489685,0.8776041865348816,1.0823888778686523,0.62109375,1.0900895595550537,0.63671875
11,3,max,0.2,tanh,0.27961546182632446,0.9244791865348816,0.9863015413284302,0.64453125,0.9741021990776062,0.66015625
11,3,max,0.4,relu,0.30060335993766785,0.9114583134651184,1.0366952419281006,0.68359375,1.1113823652267456,0.67578125
11,3,max,0.4,tanh,0.25878214836120605,0.9375,1.0277585983276367,0.65625,0.9448283314704895,0.69140625
11,5,average,0.0,relu,0.9304025173187256,0.6744791865348816,1.286510944366455,0.53515625,1.4558937549591064,0.50390625
11,5,average,0.0,tanh,1.0313283205032349,0.65625,1.3656929731369019,0.50390625,1.428538203239441,0.4453125
11,5,average,0.2,relu,0.5186958312988281,0.82421875,1.094574213027954,0.64453125,1.3964234590530396,0.546875
11,5,average,0.2,tanh,0.349016934633255,0.8854166865348816,1.5226939916610718,0.546875,1.6538949012756348,0.5234375
11,5,average,0.4,relu,0.3776971101760864,0.8736979365348816,1.1725770235061646,0.6171875,1.5727763175964355,0.578125
11,5,average,0.4,tanh,0.88239985704422,0.69921875,1.2528660297393799,0.56640625,1.4370486736297607,0.5
11,5,max,0.0,relu,0.8516035676002502,0.7278645634651184,1.2161577939987183,0.56640625,1.1551443338394165,0.62109375
11,5,max,0.0,tanh,0.30228951573371887,0.93359375,1.0850167274475098,0.6328125,1.2172895669937134,0.5703125
11,5,max,0.2,relu,0.2866836488246918,0.90625,0.9848004579544067,0.671875,1.3471029996871948,0.5390625
11,5,max,0.2,tanh,0.5176027417182922,0.8463541865348816,1.0905553102493286,0.625,1.3093799352645874,0.54296875
11,5,max,0.4,relu,0.7398180365562439,0.7643229365348816,1.1959699392318726,0.58984375,1.286584734916687,0.53125
11,5,max,0.4,tanh,0.2045680731534958,0.9361979365348816,0.9920516014099121,0.6953125,1.1409649848937988,0.64453125
